gene_id	gene_symbol	gene_full_name
79987	SVEP1	"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
219770	GJD4	"gap junction protein, delta 4, 40.1kDa"
64386	MMP25	matrix metallopeptidase 25
382	ARF6	ADP-ribosylation factor 6
421	ARVCF	armadillo repeat gene deleted in velocardiofacial syndrome
351	APP	amyloid beta (A4) precursor protein
43	ACHE	acetylcholinesterase (Yt blood group)
163	AP2B1	"adaptor-related protein complex 2, beta 1 subunit"
171169	SPACA4	sperm acrosome associated 4
146760	RTN4RL1	reticulon 4 receptor-like 1
10938	EHD1	EH-domain containing 1
6804	STX1A	syntaxin 1A (brain)
7124	TNF	tumor necrosis factor
1137	CHRNA4	"cholinergic receptor, nicotinic, alpha 4 (neuronal)"
2709	GJB5	"gap junction protein, beta 5, 31.1kDa"
3675	ITGA3	"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
55576	STAB2	stabilin 2
5801	PTPRR	"protein tyrosine phosphatase, receptor type, R"
4891	SLC11A2	"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2"
9066	SYT7	synaptotagmin VII
8515	ITGA10	"integrin, alpha 10"
5613	PRKX	"protein kinase, X-linked"
7173	TPO	thyroid peroxidase
8692	HYAL2	hyaluronoglucosaminidase 2
115650	TNFRSF13C	"tumor necrosis factor receptor superfamily, member 13C"
3416	IDE	insulin-degrading enzyme
2701	GJA4	"gap junction protein, alpha 4, 37kDa"
348	APOE	apolipoprotein E
6550	SLC9A3	"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3"
27302	BMP10	bone morphogenetic protein 10
6517	SLC2A4	"solute carrier family 2 (facilitated glucose transporter), member 4"
7097	TLR2	toll-like receptor 2
2214	FCGR3A	"Fc fragment of IgG, low affinity IIIa, receptor (CD16a)"
9982	FGFBP1	fibroblast growth factor binding protein 1
3678	ITGA5	"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
6900	CNTN2	contactin 2 (axonal)
3257	HPS1	Hermansky-Pudlak syndrome 1
112755	STX1B	syntaxin 1B
27152	INTU	inturned planar cell polarity protein
762	CA4	carbonic anhydrase IV
7293	TNFRSF4	"tumor necrosis factor receptor superfamily, member 4"
6337	SCNN1A	"sodium channel, non-voltage-gated 1 alpha subunit"
7171	TPM4	tropomyosin 4
3763	KCNJ6	"potassium inwardly-rectifying channel, subfamily J, member 6"
4804	NGFR	nerve growth factor receptor
1233	CCR4	chemokine (C-C motif) receptor 4
1436	CSF1R	colony stimulating factor 1 receptor
5243	ABCB1	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"
114132	SIGLEC11	sialic acid binding Ig-like lectin 11
6695	SPOCK1	"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1"
8516	ITGA8	"integrin, alpha 8"
30846	EHD2	EH-domain containing 2
83849	SYT15	synaptotagmin XV
3554	IL1R1	"interleukin 1 receptor, type I"
1576	CYP3A4	"cytochrome P450, family 3, subfamily A, polypeptide 4"
22798	LAMB4	"laminin, beta 4"
2706	GJB2	"gap junction protein, beta 2, 26kDa"
89782	LMLN	leishmanolysin-like (metallopeptidase M8 family)
3960	LGALS4	"lectin, galactoside-binding, soluble, 4"
3655	ITGA6	"integrin, alpha 6"
10226	PLIN3	perilipin 3
23673	STX12	syntaxin 12
56141	PCDHA7	protocadherin alpha 7
8541	PPFIA3	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), al"
160	AP2A1	"adaptor-related protein complex 2, alpha 1 subunit"
2266	FGG	fibrinogen gamma chain
4582	MUC1	"mucin 1, cell surface associated"
1901	S1PR1	sphingosine-1-phosphate receptor 1
56144	PCDHA4	protocadherin alpha 4
92	ACVR2A	"activin A receptor, type IIA"
1604	CD55	"CD55 molecule, decay accelerating factor for complement (Cromer blood group)"
3681	ITGAD	"integrin, alpha D"
290	ANPEP	alanyl (membrane) aminopeptidase
3312	HSPA8	heat shock 70kDa protein 8
3815	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
55959	SULF2	sulfatase 2
10232	MSLN	mesothelin
1209	CLPTM1	cleft lip and palate associated transmembrane protein 1
5328	PLAU	"plasminogen activator, urokinase"
130340	AP1S3	"adaptor-related protein complex 1, sigma 3 subunit"
201633	TIGIT	T cell immunoreceptor with Ig and ITIM domains
56963	RGMA	repulsive guidance molecule family member a
79803	HPS6	Hermansky-Pudlak syndrome 6
3902	LAG3	lymphocyte-activation gene 3
26052	DNM3	dynamin 3
127534	GJB4	"gap junction protein, beta 4, 30.3kDa"
1839	HBEGF	heparin-binding EGF-like growth factor
2692	GHRHR	growth hormone releasing hormone receptor
4914	NTRK1	"neurotrophic tyrosine kinase, receptor, type 1"
1889	ECE1	endothelin converting enzyme 1
84634	KISS1R	KISS1 receptor
8499	PPFIA2	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), al"
222663	SCUBE3	"signal peptide, CUB domain, EGF-like 3"
5618	PRLR	prolactin receptor
933	CD22	CD22 molecule
6696	SPP1	secreted phosphoprotein 1
136	ADORA2B	adenosine A2b receptor
57453	DSCAML1	Down syndrome cell adhesion molecule like 1
164	AP1G1	"adaptor-related protein complex 1, gamma 1 subunit"
3560	IL2RB	"interleukin 2 receptor, beta"
10267	RAMP1	receptor (G protein-coupled) activity modifying protein 1
7040	TGFB1	"transforming growth factor, beta 1"
10427	SEC24B	SEC24 family member B
23621	BACE1	beta-site APP-cleaving enzyme 1
6869	TACR1	tachykinin receptor 1
9486	CHST10	carbohydrate sulfotransferase 10
3565	IL4	interleukin 4
5270	SERPINE2	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2"
2239	GPC4	glypican 4
83850	ESYT3	extended synaptotagmin-like protein 3
23495	TNFRSF13B	"tumor necrosis factor receptor superfamily, member 13B"
7057	THBS1	thrombospondin 1
6403	SELP	"selectin P (granule membrane protein 140kDa, antigen CD62)"
148281	SYT6	synaptotagmin VI
57152	SLURP1	secreted LY6/PLAUR domain containing 1
7087	ICAM5	"intercellular adhesion molecule 5, telencephalin"
56146	PCDHA2	protocadherin alpha 2
6091	ROBO1	"roundabout, axon guidance receptor, homolog 1 (Drosophila)"
10631	POSTN	"periostin, osteoblast specific factor"
11211	FZD10	frizzled class receptor 10
6385	SDC4	syndecan 4
80381	CD276	CD276 molecule
1134	CHRNA1	"cholinergic receptor, nicotinic, alpha 1 (muscle)"
5104	SERPINA5	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5"
8482	SEMA7A	"semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)"
10266	RAMP2	receptor (G protein-coupled) activity modifying protein 2
3691	ITGB4	"integrin, beta 4"
7855	FZD5	frizzled class receptor 5
2526	FUT4	"fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)"
6331	SCN5A	"sodium channel, voltage-gated, type V, alpha subunit"
1824	DSC2	desmocollin 2
1014	CDH16	"cadherin 16, KSP-cadherin"
3690	ITGB3	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
53841	CDHR5	cadherin-related family member 5
79414	LRFN3	leucine rich repeat and fibronectin type III domain containing 3
56135	PCDHAC1	"protocadherin alpha subfamily C, 1"
56126	PCDHB10	protocadherin beta 10
6272	SORT1	sortilin 1
56138	PCDHA11	protocadherin alpha 11
29119	CTNNA3	"catenin (cadherin-associated protein), alpha 3"
3694	ITGB6	"integrin, beta 6"
56133	PCDHB2	protocadherin beta 2
999	CDH1	"cadherin 1, type 1, E-cadherin (epithelial)"
8639	AOC3	"amine oxidase, copper containing 3"
3026	HABP2	hyaluronan binding protein 2
5663	PSEN1	presenilin 1
3760	KCNJ3	"potassium inwardly-rectifying channel, subfamily J, member 3"
9033	PKD2L1	polycystic kidney disease 2-like 1
774	CACNA1B	"calcium channel, voltage-dependent, N type, alpha 1B subunit"
962	CD48	CD48 molecule
374	AREG	amphiregulin
55612	FERMT1	fermitin family member 1
23431	AP4E1	"adaptor-related protein complex 4, epsilon 1 subunit"
80781	COL18A1	"collagen, type XVIII, alpha 1"
56147	PCDHA1	protocadherin alpha 1
3683	ITGAL	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide"
125111	GJD3	"gap junction protein, delta 3, 31.9kDa"
8677	STX10	syntaxin 10
2028	ENPEP	glutamyl aminopeptidase (aminopeptidase A)
1395	CRHR2	corticotropin releasing hormone receptor 2
2207	FCER1G	"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide"
2687	GGT5	gamma-glutamyltransferase 5
6092	ROBO2	"roundabout, axon guidance receptor, homolog 2 (Drosophila)"
1493	CTLA4	cytotoxic T-lymphocyte-associated protein 4
94	ACVRL1	activin A receptor type II-like 1
563	AZGP1	"alpha-2-glycoprotein 1, zinc-binding"
10239	AP3S2	"adaptor-related protein complex 3, sigma 2 subunit"
2707	GJB3	"gap junction protein, beta 3, 31kDa"
2195	FAT1	FAT atypical cadherin 1
3684	ITGAM	"integrin, alpha M (complement component 3 receptor 3 subunit)"
3249	HPN	hepsin
950	SCARB2	"scavenger receptor class B, member 2"
27252	KLHL20	kelch-like family member 20
9788	MTSS1	metastasis suppressor 1
29091	STXBP6	syntaxin binding protein 6 (amisyn)
56125	PCDHB11	protocadherin beta 11
127833	SYT2	synaptotagmin II
3572	IL6ST	interleukin 6 signal transducer
9638	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)
923	CD6	CD6 molecule
11093	ADAMTS13	"ADAM metallopeptidase with thrombospondin type 1 motif, 13"
6814	STXBP3	syntaxin binding protein 3
115703	ARHGAP33	Rho GTPase activating protein 33
3594	IL12RB1	"interleukin 12 receptor, beta 1"
22871	NLGN1	neuroligin 1
56145	PCDHA3	protocadherin alpha 3
79977	GRHL2	grainyhead-like 2 (Drosophila)
4072	EPCAM	epithelial cell adhesion molecule
5340	PLG	plasminogen
1236	CCR7	chemokine (C-C motif) receptor 7
9308	CD83	CD83 molecule
3949	LDLR	low density lipoprotein receptor
57586	SYT13	synaptotagmin XIII
5817	PVR	poliovirus receptor
3909	LAMA3	"laminin, alpha 3"
5664	PSEN2	presenilin 2
56134	PCDHAC2	"protocadherin alpha subfamily C, 2"
633	BGN	biglycan
84343	HPS3	Hermansky-Pudlak syndrome 3
4355	MPP2	"membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)"
6198	RPS6KB1	"ribosomal protein S6 kinase, 70kDa, polypeptide 1"
8174	MADCAM1	mucosal vascular addressin cell adhesion molecule 1
2208	FCER2	"Fc fragment of IgE, low affinity II, receptor for (CD23)"
51760	SYT17	synaptotagmin XVII
22801	ITGA11	"integrin, alpha 11"
6051	RNPEP	arginyl aminopeptidase (aminopeptidase B)
8406	SRPX	"sushi-repeat containing protein, X-linked"
9855	FARP2	"FERM, RhoGEF and pleckstrin domain protein 2"
1991	ELANE	"elastase, neutrophil expressed"
3123	HLA-DRB1	"major histocompatibility complex, class II, DR beta 1"
2022	ENG	endoglin
8754	ADAM9	ADAM metallopeptidase domain 9
10947	AP3M2	"adaptor-related protein complex 3, mu 2 subunit"
8907	AP1M1	"adaptor-related protein complex 1, mu 1 subunit"
3656	IRAK2	interleukin-1 receptor-associated kinase 2
6424	SFRP4	secreted frizzled-related protein 4
7292	TNFSF4	"tumor necrosis factor (ligand) superfamily, member 4"
3973	LHCGR	luteinizing hormone/choriogonadotropin receptor
8763	CD164	"CD164 molecule, sialomucin"
56139	PCDHA10	protocadherin alpha 10
3689	ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
3627	CXCL10	chemokine (C-X-C motif) ligand 10
6529	SLC6A1	"solute carrier family 6 (neurotransmitter transporter), member 1"
7059	THBS3	thrombospondin 3
10052	GJC1	"gap junction protein, gamma 1, 45kDa"
3552	IL1A	"interleukin 1, alpha"
22883	CLSTN1	calsyntenin 1
1130	LYST	lysosomal trafficking regulator
320	APBA1	"amyloid beta (A4) precursor protein-binding, family A, member 1"
83660	TLN2	talin 2
80184	CEP290	centrosomal protein 290kDa
22918	CD93	CD93 molecule
1176	AP3S1	"adaptor-related protein complex 3, sigma 1 subunit"
2902	GRIN1	"glutamate receptor, ionotropic, N-methyl D-aspartate 1"
55540	IL17RB	interleukin 17 receptor B
6340	SCNN1G	"sodium channel, non-voltage-gated 1, gamma subunit"
388512	CLEC17A	"C-type lectin domain family 17, member A"
777	CACNA1E	"calcium channel, voltage-dependent, R type, alpha 1E subunit"
2054	STX2	syntaxin 2
222545	GPRC6A	"G protein-coupled receptor, class C, group 6, member A"
558	AXL	AXL receptor tyrosine kinase
4283	CXCL9	chemokine (C-X-C motif) ligand 9
2890	GRIA1	"glutamate receptor, ionotropic, AMPA 1"
55966	AJAP1	adherens junctions associated protein 1
375519	GJB7	"gap junction protein, beta 7, 25kDa"
356	FASLG	"Fas ligand (TNF superfamily, member 6)"
632	BGLAP	bone gamma-carboxyglutamate (gla) protein
4240	MFGE8	milk fat globule-EGF factor 8 protein
10519	CIB1	calcium and integrin binding 1 (calmyrin)
2683	B4GALT1	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"
100	ADA	adenosine deaminase
8829	NRP1	neuropilin 1
57136	APMAP	adipocyte plasma membrane associated protein
4017	LOXL2	lysyl oxidase-like 2
1496	CTNNA2	"catenin (cadherin-associated protein), alpha 2"
6813	STXBP2	syntaxin binding protein 2
22925	PLA2R1	"phospholipase A2 receptor 1, 180kDa"
10857	PGRMC1	progesterone receptor membrane component 1
91	ACVR1B	"activin A receptor, type IB"
3824	KLRD1	"killer cell lectin-like receptor subfamily D, member 1"
5034	P4HB	"prolyl 4-hydroxylase, beta polypeptide"
56124	PCDHB12	protocadherin beta 12
4142	MAS1	MAS1 oncogene
375	ARF1	ADP-ribosylation factor 1
9071	CLDN10	claudin 10
250	ALPP	"alkaline phosphatase, placental"
928	CD9	CD9 molecule
10717	AP4B1	"adaptor-related protein complex 4, beta 1 subunit"
89790	SIGLEC10	sialic acid binding Ig-like lectin 10
11276	SYNRG	"synergin, gamma"
11154	AP4S1	"adaptor-related protein complex 4, sigma 1 subunit"
8120	AP3B2	"adaptor-related protein complex 3, beta 2 subunit"
3579	CXCR2	chemokine (C-X-C motif) receptor 2
2686	GGT7	gamma-glutamyltransferase 7
1515	CTSV	cathepsin V
7070	THY1	Thy-1 cell surface antigen
4043	LRPAP1	low density lipoprotein receptor-related protein associated protein 1
50833	TAS2R16	"taste receptor, type 2, member 16"
350	APOH	apolipoprotein H (beta-2-glycoprotein I)
51128	SAR1B	"secretion associated, Ras related GTPase 1B"
929	CD14	CD14 molecule
3604	TNFRSF9	"tumor necrosis factor receptor superfamily, member 9"
7060	THBS4	thrombospondin 4
64399	HHIP	hedgehog interacting protein
776	CACNA1D	"calcium channel, voltage-dependent, L type, alpha 1D subunit"
3671	ISLR	immunoglobulin superfamily containing leucine-rich repeat
56140	PCDHA8	protocadherin alpha 8
8321	FZD1	frizzled class receptor 1
4040	LRP6	low density lipoprotein receptor-related protein 6
9473	THEMIS2	thymocyte selection associated family member 2
948	CD36	CD36 molecule (thrombospondin receptor)
7056	THBD	thrombomodulin
54542	RC3H2	ring finger and CCCH-type domains 2
417	ART1	ADP-ribosyltransferase 1
84694	GJA10	"gap junction protein, alpha 10, 62kDa"
7041	TGFB1I1	transforming growth factor beta 1 induced transcript 1
7852	CXCR4	chemokine (C-X-C motif) receptor 4
2676	GFRA3	GDNF family receptor alpha 3
3998	LMAN1	"lectin, mannose-binding, 1"
967	CD63	CD63 molecule
64786	TBC1D15	"TBC1 domain family, member 15"
6868	ADAM17	ADAM metallopeptidase domain 17
8581	LY6D	"lymphocyte antigen 6 complex, locus D"
282679	AQP11	aquaporin 11
6710	SPTB	"spectrin, beta, erythrocytic"
102	ADAM10	ADAM metallopeptidase domain 10
958	CD40	"CD40 molecule, TNF receptor superfamily member 5"
9922	IQSEC1	IQ motif and Sec7 domain 1
7039	TGFA	"transforming growth factor, alpha"
131566	DCBLD2	"discoidin, CUB and LCCL domain containing 2"
9266	CYTH2	cytohesin 2
4855	NOTCH4	notch 4
1946	EFNA5	ephrin-A5
3695	ITGB7	"integrin, beta 7"
134957	STXBP5	syntaxin binding protein 5 (tomosyn)
8326	FZD9	frizzled class receptor 9
344892	RTP2	receptor (chemosensory) transporter protein 2
859	CAV3	caveolin 3
4814	NINJ1	ninjurin 1
29851	ICOS	inducible T-cell co-stimulator
4059	BCAM	basal cell adhesion molecule (Lutheran blood group)
7045	TGFBI	"transforming growth factor, beta-induced, 68kDa"
57823	SLAMF7	SLAM family member 7
2050	EPHB4	EPH receptor B4
963	CD53	CD53 molecule
89781	HPS4	Hermansky-Pudlak syndrome 4
2255	FGF10	fibroblast growth factor 10
4325	MMP16	matrix metallopeptidase 16 (membrane-inserted)
3306	HSPA2	heat shock 70kDa protein 2
4074	M6PR	mannose-6-phosphate receptor (cation dependent)
258	AMBN	ameloblastin (enamel matrix protein)
30844	EHD4	EH-domain containing 4
930	CD19	CD19 molecule
1902	LPAR1	lysophosphatidic acid receptor 1
7049	TGFBR3	"transforming growth factor, beta receptor III"
2993	GYPA	glycophorin A (MNS blood group)
285704	RGMB	repulsive guidance molecule family member b
8676	STX11	syntaxin 11
1410	CRYAB	"crystallin, alpha B"
57864	SLC46A2	"solute carrier family 46, member 2"
93	ACVR2B	"activin A receptor, type IIB"
3751	KCND2	"potassium voltage-gated channel, Shal-related subfamily, member 2"
9076	CLDN1	claudin 1
4978	OPCML	opioid binding protein/cell adhesion molecule-like
7077	TIMP2	TIMP metallopeptidase inhibitor 2
914	CD2	CD2 molecule
8727	CTNNAL1	"catenin (cadherin-associated protein), alpha-like 1"
2319	FLOT2	flotillin 2
8082	SSPN	sarcospan
8911	CACNA1I	"calcium channel, voltage-dependent, T type, alpha 1I subunit"
9353	SLIT2	slit homolog 2 (Drosophila)
1230	CCR1	chemokine (C-C motif) receptor 1
143425	SYT9	synaptotagmin IX
567	B2M	beta-2-microglobulin
953	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1
57369	GJD2	"gap junction protein, delta 2, 36kDa"
1380	CR2	complement component (3d/Epstein Barr virus) receptor 2
947	CD34	CD34 molecule
176	ACAN	aggrecan
51754	TMEM8B	transmembrane protein 8B
145864	HAPLN3	hyaluronan and proteoglycan link protein 3
5314	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)
684	BST2	bone marrow stromal cell antigen 2
343413	FCRL6	Fc receptor-like 6
27006	FGF22	fibroblast growth factor 22
54413	NLGN3	neuroligin 3
415117	STX19	syntaxin 19
390	RND3	Rho family GTPase 3
5914	RARA	"retinoic acid receptor, alpha"
959	CD40LG	CD40 ligand
4478	MSN	moesin
101	ADAM8	ADAM metallopeptidase domain 8
84570	COL25A1	"collagen, type XXV, alpha 1"
1182	CLCN3	"chloride channel, voltage-sensitive 3"
3908	LAMA2	"laminin, alpha 2"
6469	SHH	sonic hedgehog
2690	GHR	growth hormone receptor
143903	LAYN	layilin
11122	PTPRT	"protein tyrosine phosphatase, receptor type, T"
7162	TPBG	trophoblast glycoprotein
129684	CNTNAP5	contactin associated protein-like 5
10047	CST8	cystatin 8 (cystatin-related epididymal specific)
2703	GJA8	"gap junction protein, alpha 8, 50kDa"
11141	IL1RAPL1	interleukin 1 receptor accessory protein-like 1
9378	NRXN1	neurexin 1
26032	SUSD5	sushi domain containing 5
1277	COL1A1	"collagen, type I, alpha 1"
2833	CXCR3	chemokine (C-X-C motif) receptor 3
2665	GDI2	GDP dissociation inhibitor 2
6247	RS1	retinoschisin 1
10484	SEC23A	Sec23 homolog A (S. cerevisiae)
26047	CNTNAP2	contactin associated protein-like 2
2705	GJB1	"gap junction protein, beta 1, 32kDa"
9404	LPXN	leupaxin
150084	IGSF5	"immunoglobulin superfamily, member 5"
925	CD8A	CD8a molecule
1311	COMP	cartilage oligomeric matrix protein
7048	TGFBR2	"transforming growth factor, beta receptor II (70/80kDa)"
6507	SLC1A3	"solute carrier family 1 (glial high affinity glutamate transporter), member 3"
5067	CNTN3	contactin 3 (plasmacytoma associated)
3696	ITGB8	"integrin, beta 8"
